index,video,offset
0,264 GP010773,-166.83537059341072
1,264 GP030809,-200.20244471209287
2,264 GP030775,-235171.13838847174
3,264 GP070808,-433.77196354286787
4,264 GP060775,-600.6073341362786
5,264 GP060808,-387491.8317402557
6,264 GP050775,-316553.4321639375
7,264 GP050808,82383.30599902621
8,264 GOPR0775,-166.83537059341072
0,235 GP030054,269572.59180483303
1,235 GP020057,-467.13903766155
2,235 GP010056,-66.73414823736428
3,235 GOPR0058,267603.93443183077
4,235 GP010058,301338.0463658184
5,235 GP040054,-300.3036670681393
6,235 GOPR0057,224593.77589284952
7,235 GP040057,-166.83537059341072
0,243 GP090551,456628.4093141651
1,243 GP010551,419157.18507888506
2,243 GP020555,-767.4427047296892
3,243 GP030551,-487659.7882445395
4,243 GP020551,-196098.29459549495
5,243 GP070551,239942.6299874433
6,243 GP060551,-193662.49818483114
7,243 GP040551,512351.4230923643
8,243 GP050555,516121.9024677754
9,243 GOPR0553,175544.17693838675
10,243 GP050551,403341.1919466297
11,243 GP040555,-167769.6486687338
0,258 GOPR0722,257426.97682563274
1,258 GP010723,-66.73414823736428
0,267 GP010392,120088.09975313704
1,267 GP020392,138940.49663019244
2,267 GOPR0392,-15549.056539305879
0,259 GOPR0183,-333.67074118682143
1,259 GP080172,-19419.63713707301
2,259 GOPR0169,186655.4126199079
3,259 GOPR0178,-15448.955316949832
4,259 GP010183,-354858.8332521846
0,234 GOPR0523,233.569518830775
0,263 GP010351,-333.67074118682143
0,247 GOPR0137,447819.50174683303
1,247 GOPR0135,-336039.80344924785
0,253 GP050157,-300.3036670681393
1,253 GP050154,413317.9471081157
2,253 GP010160,148416.74567989816
3,253 GOPR0157,26426.722701996256
4,253 GP060154,-334104.5131503643
5,253 GP030158,-162964.78999564357
6,253 GP060157,-451122.84208458255
7,253 GP020158,239742.4275427312
8,253 GP020154,-480252.29779019207
9,253 GP020157,133.46829647472856
10,253 GP080154,-200.20244471209287
11,253 GP010154,-125827.23650155036
12,253 GOPR0158,-3970.681820123175
13,253 GOPR0160,-25425.710478435794
14,253 GP010153,-867.5439270857357
0,249 GP010571,-161596.73995677763
1,249 GP080571,414152.1239610828
2,249 GP030698,280984.13115342235
0,240 GOPR0545,244547.28621582143
1,240 GOPR0546,-233.569518830775
2,240 GP010538,-315652.5211627331
3,240 GOPR0537,567.2402600175965
4,240 GP010537,357161.16136637365
5,240 GP010536,294631.2644679633
6,240 GOPR0538,-200.20244471209287
7,240 GP020545,-333.67074118682143
8,240 GP010532,-266.9365929494571
9,240 GP020537,-433.77196354286787
0,236 GOPR0527,-533.8731858989142
1,236 GP010527,302539.261034091
0,265 GP010820,-26893.86173965781
1,265 GP050817,-135770.62458891765
2,265 GP040813,96998.08446300899
3,265 GP010825,-5505.567229582553
4,265 GP060817,14581.411389864097
5,265 GP030818,-249886.01807481056
6,265 GP020818,-395766.8661216889
7,265 GP020816,299302.6548445788
8,265 GP030813,-3036.403744800075
9,265 GP020817,-300.3036670681393
10,265 GP020815,155056.7934295159
11,265 GP030817,201603.8618250775
12,265 GP040818,-33.36707411868214
13,265 GOPR0825,-19753.307878259828
14,265 GP010816,33.36707411868214
15,265 GP010817,-103538.0309902707
16,265 GP050818,-6339.744082549607
17,265 GOPR0821,-266.9365929494571
0,246 GP010566,-19486.37128531037
1,246 GP020566,-516655.7756536743
2,246 GP030563,-600.6073341362786
3,246 GP030566,-467.13903766155
4,246 GOPR0566,600.6073341362786
0,262 GP040755,-166.83537059341072
1,262 GP010765,-115950.58256242044
2,262 GP050755,-133.46829647472856
3,262 GP010762,-467.13903766155
4,262 GP060755,-200.20244471209287
5,262 GP030755,-200.20244471209287
6,262 GP020755,-667.3414823736429
7,262 GP010755,133.46829647472856
8,262 GOPR0765,-23523.78725367091
0,241 GP010106,-66.73414823736428
1,241 GOPR0106,-100.10122235604643
0,260 GP020737,-100.10122235604643
1,260 GOPR0749,-7440.857528466118
2,260 GP010737,306409.84163185814
3,260 GOPR0731,2769.467151850618
4,260 GOPR0737,204206.49360633473
0,237 GP020100,-100.10122235604643
1,237 GP030100,-166.83537059341072
2,237 GP040100,-119253.92290016999
0,248 GOPR0102,118219.54360249083
1,248 GP050102,-116718.02526715014
2,248 GOPR0106,-380050.9742117896
3,248 GP060102,258294.52075271847
4,248 GP010102,-323927.55554416624
0,238 GP040070,9743.185642655186
1,238 GOPR0071,33.36707411868214
2,238 GOPR0070,-218354.13303265595
3,238 GP010084,-66.73414823736428
4,238 GP020084,126060.80602038113
5,238 GP060067,32766.466784545864
6,238 GP030070,-367.03781530550356
7,238 GP020070,-354992.30154865934
8,238 GP010070,1968.6573730022465
9,238 GOPR0083,-1901.9232247648822
